Title;Authors;DOI;Removed (Title);Removed (Abstract)
Data Hazards: An open-source vocabulary of ethical hazards for data-intensive projects;Natalie Zelenka and Nina H. {Di Cara;10.1016/j.jrt.2025.100110;0;0
Lessons from the trenches on evaluating machine learning systems in materials science;Nawaf Alampara and Mara Schilling-Wilhelmi and Kevin Maik Jablonka;10.1016/j.commatsci.2025.114041;0;0
RESPECT: A framework for promoting inclusive and respectful conversations in online communications;Shaina Raza and Abdullah Y. Muaad and Emrul Hasan and Muskan Garg and Zainab Al-Zanbouri and Syed Raza Bashir;10.1016/j.nlp.2025.100126;0;0
sec-certs: Examining the security certification practice for better vulnerability mitigation;Adam Janovsky and Jan Jancar and Petr Svenda and ≈Åukasz Chmielewski and Jiri Michalik and Vashek Matyas;10.1016/j.cose.2024.103895;0;0
Towards a framework for interoperability and reproducibility of predictive models;Al Rahrooh and Anders O. Garlid and Kelly Bartlett and Warren Coons and Panayiotis Petousis and William Hsu and Alex A.T. Bui;10.1016/j.jbi.2023.104551;0;0
A Semantic Approach for Linked Model, Data, and Dataspace Cards;"Donald, A.; Galanopoulos, A.; Curry, E.; Muñoz, E.; Ullah, I.; Waskow, M.A.; Kalra, M.; Saxena, S.; Iqbal, T.";10.1109/ACCESS.2025.3572211;0;0
AI Risk Profiles: A Standards Proposal for Pre-deployment AI Risk Disclosures;"Sherman, E.; Eisenberg, I.W.";10.1609/aaai.v38i21.30348;0;0
Expanding ML-Documentation Standards For Better Security;Appel, C.E.;10.1109/REW66121.2025.00041;0;0
More than Model Documentation: Uncovering Teachers' Bespoke Information Needs for Informed Classroom Integration of ChatGPT;"Tan, M.; Subramonyam, H.";10.1145/3613904.3642592;0;0
RiskRAG: A Data-Driven Solution for Improved AI Model Risk Reporting;"Rao, P.S.B.; Scepanovic, S.; Zhou, K.; Bogucka, E.; Quercia, D.";10.1145/3706598.3713979;0;0
4 - Desirability vs. feasibility: a research through design inquiry of explainable AI;Lorenzo Corti and Jie Yang;10.1016/B978-0-44-340553-2.00010-1;0;0
A capability approach to ethical development and internal auditing of AI technology;Mark Graves and Emanuele Ratti;10.1016/j.jrt.2025.100121;0;0
An Asset Administration Shell-Based Digital Product Passport as a Gaia-X Service;Kevin Gleich and Sebastian Behrendt and Moritz H√∂rger and Martin Benfer and Gisela Lanza;10.1016/j.procir.2024.07.039;0;0
Chapter Three - XAI metrics and frameworks‚òÜ‚òÜThis work was partially supported by the Swedish Foundation for Strategic Research (SSF) and the Wallenberg AI, Autonomous Systems and Software Program (WASP) funded by the Knut and Alice Wallenberg Foundation. It was also partially supported by 6G-BRICKS project which received funding from the Smart Networks and Services Joint Undertaking (SNS JU) under the European Union's Horizon Europe research and innovation programme under Grand Agreement No 101096954.;Rafia Inam and Vandita Singh and Ashima Chawla and Anne-Marie Bosneag;10.1016/B978-0-44-329135-7.00013-8;0;0
Dynamic product risk management in product lifecycle management of medical products;Roberto Antonio {Riascos Castaneda;10.1016/j.jii.2025.100977;0;0
Enabling a dynamic information flow in digital product passports during product use phase: A literature review and proposed framework;Paul Keng Fai Wan and Shanshan Jiang;10.1016/j.spc.2025.01.014;0;0
Enhancing media literacy: The effectiveness of (Human) annotations and bias visualizations on bias detection;Timo Spinde and Fei Wu and Wolfgang Gaissmaier and Gianluca Demartini and Isao Echizen and Helge Giese;10.1016/j.ipm.2025.104244;0;0
How do we assess the trustworthiness of AI? Introducing the trustworthiness assessment model (TrAM);Nadine Schlicker and Kevin Baum and Alarith Uhde and Sarah Sterz and Martin C. Hirsch and Markus Langer;10.1016/j.chb.2025.108671;0;0
Leveraging Knowledge Graphs for AI System Auditing and Transparency;Laura Waltersdorfer and Marta Sabou;10.1016/j.websem.2024.100849;0;0
My AI, my code, my secret ‚Äì Trade secrecy, informational transparency and meaningful litigant participation under the European Union's AI Liability Directive Proposal;Ljupcho Grozdanovski;10.1016/j.clsr.2025.106117;0;0
