;Meta;;;;;Metrics;;;;;;;;Issue Date Mentioned;Risks;;;;"Institution Mentioned";Certificates;Platform;;;;;;;;;;
;Provider;Intended use/application domain;License (Yes);AI technic/models used;Data description; Performance;Training duration;Prediction Time;Model size;Energy consumption;Carbon emissions;Water consumption;Robustness;Yes;Fairness Risk;Privacy Risks;Cybersecurity Risks;Ethical Risks;Support Adress;Yes;Hardware;Region;;;;;;;;;
Towards Sustainability Model Cards;1;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;;;;;;;;;
Towards Safe Machine Learning Lifecycles with ESG Model Cards;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;0;0;0;1;0;;;;;;;;;
Towards patient centered ai fact labels;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;;;;;;;;;
RiskRAG A Data-Driven Solution for Improved AI Model Risk Reporting;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;;;;;;;;;
Prescriptive and Descriptive Approaches to Machine Learning Transparency;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;;;;;;;;;
Prescriptive and Descriptive Approaches to Machine Learning Transparency_2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;;;;;;;
Model Cards for Model Reporting;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;;;;;;;;;
Model Cards for Model Reporting in 2024 ERGÄNZUNG ZU KLASSISCHEN MODEL CARDS;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;;;;;;;;;
Method Cards for Prescriptive Machine-Learning Transparency;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;;;;;;;;;
Interactive Model Cards A Human Centered Approach;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;;;;;;;;;
Impact Assessment Card;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;;;;;;;;;
Human-aligned AI Model Cards with Weighted Hierarchy Architecture;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;;;;;;;;;
FactSheets for Hardware-Aware AI Models A Case Study of Analog in Memory Computing AI Models;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;
Expanding ML-Documentation Standards For Better  Security WIE MODEL CARDS FOR MODEL REPORTING MIT SECURITY ZUSATZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;;;;;;;;
DAG Card is the new Model Card;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;
Bridging the Communication Gap Evaluating AI Labeling Practices for Trustworthy AI Development;0;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;;;;;;;;;
AI Risk Profiles A Standards Proposal for Pre-deployment AI Risk Disclosures;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;;;;;;;;;
AI Model Cards;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;;;;;;;;;
AI Cards Towards an Applied  Framework for Machine-Readable AI  and Risk Documentation Inspired  by the EU AI Act;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;
A Semantic Approach for Linked Model, Data, and Dataspace Cards;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
